date;time;total
2022-03-02;5:58:25;0
2022-03-02;5:59:09;0
2022-03-02;6:13:40;0
2022-03-02;6:15:59;0
2022-03-02;6:16:50;0
2022-03-02;6:24:01;0
2022-03-02;6:27:19;0
2022-03-02;7:05:36;0
2022-03-02;7:12:54;0
2022-03-02;7:13:33;0
2022-03-02;7:32:27;0
2022-03-02;7:34:23;0
2022-03-02;7:36:07;0
2022-03-02;10:10:51;0
2022-03-02;16:19:56;0
2022-03-02;16:46:35;0
2022-03-02;16:52:12;0
2022-03-02;16:55:53;0
2022-03-02;16:56:57;0
2022-03-02;17:00:16;0
2022-03-02;17:01:32;0
2022-03-02;17:02:55;0
2022-03-02;17:56:29;0
2022-03-02;17:57:51;0
2022-03-02;17:58:30;0
2022-03-02;17:59:17;0
2022-03-02;18:00:41;0
2022-03-02;18:07:34;0
2022-03-02;18:12:07;0
2022-03-02;18:17:16;0
2022-03-02;18:20:01;0
2022-03-02;19:15:31;0
2022-03-02;19:25:52;0
2022-03-02;19:28:12;0
2022-03-02;19:29:29;0
2022-03-02;20:54:51;0
2022-03-02;20:55:31;0
2022-03-02;20:56:10;0
2022-03-02;20:59:21;0
2022-03-02;21:02:28;0
2022-03-02;21:03:09;0
2022-03-02;21:03:55;0
2022-03-03;5:29:20;0
2022-03-03;5:30:14;1
2022-03-03;5:31:12;0
2022-03-03;5:32:48;0
2022-03-03;5:33:58;0
2022-03-03;5:39:40;0
2022-03-03;5:45:16;0
2022-03-03;5:46:39;0
2022-03-03;5:47:21;1
2022-03-03;5:48:13;0
2022-03-03;6:02:19;0
2022-03-03;6:05:34;0
2022-03-03;6:08:03;0
2022-03-03;6:08:52;0
2022-03-03;6:09:33;0
2022-03-03;6:10:13;0
2022-03-03;6:11:23;0
2022-03-03;6:12:40;0
2022-03-03;6:27:56;0
2022-03-03;6:28:35;0
2022-03-03;18:21:03;0
2022-03-03;18:28:18;0
2022-03-03;18:28:57;0
2022-03-03;18:30:52;0
2022-03-03;18:34:17;0
2022-03-03;18:36:42;0
2022-03-03;18:38:16;0
2022-03-03;18:40:46;0
2022-03-03;20:31:43;0
2022-03-03;20:32:24;0
2022-03-03;20:33:04;0
2022-03-03;20:34:20;0
2022-03-03;20:35:08;0
2022-03-03;20:37:16;0
2022-03-03;20:38:06;0
2022-03-03;20:42:01;0
2022-03-04;5:35:36;0
2022-03-04;5:36:52;0
2022-03-04;5:47:50;0
2022-03-04;5:48:50;0
2022-03-04;5:49:40;0
2022-03-04;6:06:44;0
2022-03-04;6:07:32;0
2022-03-04;6:09:14;0
2022-03-04;6:09:55;0
2022-03-04;6:20:26;0
2022-03-04;6:27:31;0
2022-03-04;6:28:29;0
2022-03-04;6:48:29;0
2022-03-04;6:52:54;0
2022-03-04;7:16:42;0
2022-03-04;7:20:08;0
2022-03-04;7:57:44;0
2022-03-04;7:58:20;0
